Title,Runtime,MPAA Rating,IMDb Score,Release Year
Paranormal Activity: Next of Kin,98 min,R,5.2,(2021)
Army of Thieves,127 min,TV-MA,6.4,(2021)
The Bombardment,107 min,TV-MA,7.3,(2021)
Hypnotic,88 min,TV-14,5.3,(2021)
Injustice,78 min,R,6.4,(2021)
Last Man Down,87 min,R,3.6,(2021)
Eternals,156 min,PG-13,6.3,(2021)
Night Teeth,107 min,TV-14,5.7,(2021)
Sardar Udham,164 min,TV-MA,8.4,(2021)
Munich: The Edge of War,130 min,PG-13,6.8,(2021)
Warning,86 min,R,4.6,(II) (2021)
The Phantom of the Open,106 min,PG-13,7.0,(2021)
Antlers,99 min,R,5.9,(2021)
The Tender Bar,106 min,R,6.7,(2021)
Ghostbusters: Afterlife,124 min,PG-13,7.1,(2021)
The Manor,81 min,Not Rated,5.3,(I) (2021)
The Harder They Fall,139 min,R,6.6,(2021)
The Addams Family 2,93 min,PG,5.4,(2021)
No One Gets Out Alive,87 min,R,5.3,(2021)
No Time to Die,163 min,PG-13,7.3,(2021)
V/H/S/94,103 min,R,5.5,(2021)
The Black Phone,103 min,R,6.9,(2021)
The Tragedy of Macbeth,105 min,R,7.1,(2021)
Black Friday,84 min,13+,4.6,(III) (2021)
There's Someone Inside Your House,96 min,TV-MA,4.8,(2021)
The Many Saints of Newark,120 min,R,6.3,(2021)
Intrusion,92 min,TV-14,5.3,(II) (2021)
Wolf,99 min,R,5.2,(II) (2021)
Cry Macho,104 min,PG-13,5.7,(2021)
Silent Night,92 min,Not Rated,5.7,(I) (2021)
My Son,95 min,R,6.0,(I) (2021)
Nightbooks,103 min,TV-PG,5.8,(2021)
Venom: Let There Be Carnage,97 min,PG-13,5.9,(2021)
Farha,92 min,TV-14,8.2,(2021)
The Eyes of Tammy Faye,126 min,PG-13,6.6,(2021)
The Humans,108 min,R,6.2,(2021)
The Starling,102 min,PG-13,6.3,(2021)
The Desperate Hour,84 min,PG-13,4.9,(2021)
The Guilty,90 min,R,6.3,(2021)
The Forgiven,117 min,R,6.0,(III) (2021)
The Last Duel,152 min,R,7.4,(2021)
The Voyeurs,116 min,R,6.0,(2021)
The Shipment,93 min,R,3.5,(II) (2021)
Dear Evan Hansen,137 min,PG-13,6.1,(2021)
Copshop,107 min,R,6.2,(2021)
Halloween Kills,105 min,R,5.5,(2021)
Kate,106 min,R,6.2,(I) (2021)
Old Henry,99 min,Not Rated,7.2,(2021)
7 Prisoners,93 min,R,7.1,(2021)
Last Night in Soho,116 min,R,7.0,(2021)
Dune,155 min,PG-13,8.0,(2021)
