Title,Runtime,MPAA Rating,IMDb Score,Release Year
J. Edgar,137 min,R,6.5,(2011)
Special Forces,109 min,R,6.3,(2011)
11-11-11,90 min,PG-13,3.9,(2011)
The Twilight Saga: Breaking Dawn - Part 1,117 min,PG-13,4.9,(2011)
The Double,98 min,PG-13,5.9,(I) (2011)
October Baby,107 min,PG-13,6.6,(2011)
The Heineken Kidnapping,127 min,Not Rated,6.5,(2011)
Day of the Falcon,130 min,R,6.6,(II) (2011)
Tower Heist,104 min,PG-13,6.2,(2011)
Puss in Boots,90 min,PG,6.6,(2011)
The Adventures of Tintin,107 min,PG,7.3,(2011)
Enter Nowhere,90 min,R,6.5,(2011)
Beneath the Darkness,96 min,R,4.5,(2011)
Wild Bill,98 min,Not Rated,7.2,(2011)
In Time,109 min,PG-13,6.7,(2011)
The Big Year,100 min,PG,6.2,(2011)
Paranormal Activity 3,83 min,R,5.8,(2011)
A Few Best Men,97 min,Not Rated,5.6,(2011)
The Rum Diary,119 min,R,6.1,(2011)
Apartment 143,80 min,R,5.0,(2011)
Hugo,126 min,PG,7.5,(2011)
The Thing,103 min,R,6.2,(I) (2011)
My Week with Marilyn,99 min,R,6.9,(2011)
The Monitor,96 min,R,5.7,(2011)
Footloose,113 min,PG-13,5.8,(2011)
The Phantom of the Opera at the Royal Albert Hall,137 min,Not Rated,8.8,(2011)
Margaret,150 min,R,6.5,(I) (2011)
Force,137 min,R,6.5,(2011)
Dream House,92 min,PG-13,6.0,(2011)
The Intouchables,112 min,R,8.5,(2011)
Mardi Gras: Spring Break,88 min,R,5.1,(2011)
1911,99 min,R,5.7,(2011)
The Human Centipede 2 (Full Sequence),91 min,Not Rated,3.8,(2011)
Mausam,161 min,Not Rated,4.8,(2011)
Dolphin Tale,113 min,PG,6.8,(2011)
Setup,85 min,R,4.4,(I) (2011)
What's Your Number?,106 min,R,6.0,(2011)
The Awakening,102 min,R,6.4,(I) (2011)
Faces in the Crowd,103 min,R,5.7,(2011)
The Day,87 min,R,5.2,(I) (2011)
Violet & Daisy,88 min,R,6.0,(2011)
Johnny English Reborn,101 min,PG,6.3,(2011)
Straw Dogs,110 min,R,5.8,(2011)
Hysteria,100 min,R,6.7,(2011)
I Don't Know How She Does It,89 min,PG-13,4.9,(2011)
Freerunner,87 min,R,3.5,(2011)
Trespass,91 min,R,5.3,(2011)
"Jeff, Who Lives at Home",83 min,R,6.5,(2011)
Lovely Molly,99 min,R,5.3,(2011)
"Peace, Love & Misunderstanding",96 min,R,5.8,(2011)
50/50,100 min,R,7.6,(2011)
10 Years,100 min,PG-13,6.1,(2011)
The Lady,132 min,R,7.0,(2011)
Intruders,100 min,R,5.4,(I) (2011)
Asylum Blackout,85 min,Not Rated,5.6,(I) (2011)
Machine Gun Preacher,129 min,R,6.7,(2011)
Twixt,88 min,R,4.7,(2011)
Anonymous,130 min,PG-13,6.8,(I) (2011)
The Deep Blue Sea,98 min,R,6.2,(2011)
Your Sister's Sister,90 min,R,6.7,(2011)
The Woman in the Fifth,84 min,R,5.3,(2011)
You're Next,95 min,R,6.6,(2011)
Take This Waltz,116 min,R,6.5,(2011)
Killer Elite,116 min,R,6.4,(2011)
Goon,92 min,R,6.8,(2011)
Hick,99 min,R,5.5,(2011)
Rampart,108 min,R,5.8,(2011)
Salmon Fishing in the Yemen,107 min,PG-13,6.8,(2011)
The Oranges,90 min,R,5.8,(2011)
Damsels in Distress,99 min,PG-13,5.8,(2011)
Juan of the Dead,92 min,Not Rated,6.4,(2011)
Warrior,140 min,PG-13,8.2,(2011)
Moneyball,133 min,PG-13,7.6,(2011)
Elles,99 min,NC-17,5.6,(2011)
God Bless America,105 min,R,7.1,(2011)
Texas Killing Fields,105 min,R,5.7,(2011)
The Hunter,100 min,R,6.7,(IV) (2011)
360,110 min,R,6.1,(2011)
Friends with Kids,107 min,R,6.1,(2011)
The Raid: Redemption,101 min,R,7.6,(2011)
Killer Joe,102 min,R,6.7,(2011)
Mere Brother Ki Dulhan,139 min,Not Rated,5.9,(2011)
4:44 Last Day on Earth,82 min,R,4.6,(2011)
Real Steel,127 min,PG-13,7.0,(2011)
Wuthering Heights,129 min,Not Rated,6.0,(2011)
The Moth Diaries,82 min,R,4.9,(2011)
The Entitled,91 min,R,6.1,(2011)
Tinker Tailor Soldier Spy,127 min,R,7.0,(2011)
Dark Horse,86 min,Not Rated,5.9,(2011)
A Simple Life,118 min,Not Rated,7.5,(2011)
Shame,101 min,NC-17,7.2,(2011)
Butter,90 min,R,6.2,(I) (2011)
Contagion,106 min,PG-13,6.8,(2011)
Chicken with Plums,93 min,PG-13,7.0,(2011)
A Dangerous Method,99 min,R,6.4,(2011)
The Descendants,115 min,R,7.3,(2011)
Albert Nobbs,113 min,R,6.7,(2011)
Seeking Justice,105 min,R,6.1,(2011)
Café de Flore,120 min,Not Rated,7.3,(2011)
The Three Musketeers,110 min,PG-13,5.7,(2011)
Carnage,80 min,R,7.1,(2011)
W.E.,119 min,R,6.2,(2011)
247°F,88 min,R,4.8,(2011)
Apollo 18,86 min,PG-13,5.2,(2011)
Alps,93 min,Not Rated,6.4,(2011)
The Ides of March,101 min,R,7.1,(2011)
Shark Night,90 min,PG-13,4.0,(2011)
X,90 min,Not Rated,5.5,(2011)
Bodyguard,130 min,Not Rated,4.7,(I) (2011)
Inbred,98 min,R,5.3,(2011)
A Monster in Paris,90 min,PG,6.7,(2011)
Panic Button,96 min,Not Rated,5.3,(2011)
Courageous,129 min,PG-13,6.8,(I) (2011)
Vile,88 min,R,4.9,(2011)
Abduction,106 min,PG-13,5.1,(I) (2011)
Spy Kids 4: All the Time in the World,89 min,PG,3.5,(2011)
The Inbetweeners,97 min,R,6.7,(2011)
Fright Night,106 min,R,6.4,(2011)
Conan the Barbarian,113 min,R,5.1,(2011)
30 Minutes or Less,83 min,R,6.1,(2011)
Aarakshan,164 min,PG,6.2,(2011)
The Help,146 min,PG-13,8.1,(2011)
Tactical Force,91 min,R,4.7,(2011)
One Day,107 min,PG-13,7.0,(2011)
Monsieur Lazhar,94 min,PG-13,7.5,(2011)
Final Destination 5,92 min,R,5.9,(2011)
Headhunters,100 min,R,7.5,(2011)
The Change-Up,112 min,R,6.3,(2011)
Hollow,91 min,Not Rated,4.9,(I) (2011)
Cowboys & Aliens,119 min,PG-13,6.0,(2011)
Assassination Games,101 min,R,6.1,(2011)
Rise of the Planet of the Apes,105 min,PG-13,7.6,(2011)
The Smurfs,103 min,PG,5.4,(2011)
Singham,143 min,Not Rated,6.8,(2011)
The Front Line,133 min,Not Rated,7.3,(2011)
Captain America: The First Avenger,124 min,PG-13,6.9,(2011)
"Crazy, Stupid, Love.",118 min,PG-13,7.4,(2011)
Friends with Benefits,109 min,R,6.5,(2011)
Retreat,90 min,R,5.8,(I) (2011)
Zindagi Na Milegi Dobara,155 min,Not Rated,8.2,(2011)
Horrible Bosses,98 min,R,6.9,(2011)
Murder 2,127 min,Not Rated,6.3,(2011)
Children's Party,135 min,Not Rated,7.5,(2011)
Harry Potter and the Deathly Hallows: Part 2,130 min,PG-13,8.1,(2011)
Zookeeper,102 min,PG,5.2,(2011)
Goodbye First Love,110 min,Not Rated,6.6,(2011)
Delhi Belly,103 min,Not Rated,7.5,(2011)
Combat Girls,103 min,Unrated,6.7,(2011)
Larry Crowne,98 min,PG-13,6.1,(2011)
Colombiana,108 min,PG-13,6.4,(2011)
A Better Life,98 min,PG-13,7.2,(2011)
Transformers: Dark of the Moon,154 min,PG-13,6.2,(2011)
Monte Carlo,109 min,PG,5.8,(2011)
Albatross,90 min,Not Rated,6.3,(2011)
Cars 2,106 min,G,6.2,(2011)
Life Happens,100 min,R,5.6,(2011)
Bad Teacher,92 min,R,5.6,(2011)
Bernie,104 min,PG-13,6.8,(2011)
Mr. Popper's Penguins,94 min,PG,6.0,(2011)
Beginning of the Great Revival,124 min,Not Rated,3.0,(2011)
Green Lantern,114 min,PG-13,5.5,(2011)
Honey 2,110 min,PG-13,5.1,(2011)
Shaitan,121 min,Not Rated,7.2,(2011)
Super 8,112 min,PG-13,7.0,(2011)
"Love, Wedding, Marriage",90 min,PG-13,4.8,(2011)
Ready,145 min,Not Rated,4.8,(2011)
Bucky Larson: Born to Be a Star,97 min,R,3.3,(2011)
X-Men: First Class,131 min,PG-13,7.7,(2011)
Kung Fu Panda 2,90 min,PG,7.2,(2011)
Drive,100 min,R,7.8,(I) (2011)
This Must Be the Place,118 min,R,6.7,(2011)
The Hangover Part II,102 min,R,6.5,(2011)
The Tunnel,94 min,Not Rated,5.8,(I) (2011)
Melancholia,135 min,R,7.1,(2011)
"Oslo, August 31st",95 min,Not Rated,7.6,(2011)
Elephant White,91 min,R,5.0,(2011)
The Tree of Life,139 min,PG-13,6.8,(2011)
The Snowtown Murders,119 min,Not Rated,6.6,(2011)
Where Do We Go Now?,110 min,PG-13,7.4,(2011)
The Artist,100 min,PG-13,7.9,(I) (2011)
The Decoy Bride,89 min,PG,6.1,(2011)
Miss Bala,113 min,R,6.5,(2011)
We Need to Talk About Kevin,112 min,R,7.5,(2011)
Midnight in Paris,94 min,PG-13,7.7,(2011)
Sleeping Beauty,101 min,TV-14,5.3,(2011)
Pirates of the Caribbean: On Stranger Tides,136 min,PG-13,6.6,(2011)
Blitz,97 min,R,6.1,(2011)
Jumping the Broom,112 min,PG-13,5.7,(2011)
Age of Heroes,90 min,Not Rated,5.5,(2011)
BloodRayne: The Third Reich,79 min,R,3.0,(2011)
Megan Is Missing,85 min,Not Rated,4.6,(2011)
Jesus Henry Christ,92 min,PG-13,6.4,(2011)
A Good Old Fashioned Orgy,95 min,R,6.1,(2011)
Prom,104 min,PG,5.4,(2011)
That's What I Am,101 min,PG,7.0,(2011)
The Veteran,98 min,R,5.8,(2011)
Deadheads,96 min,R,5.3,(2011)
Bridesmaids,125 min,R,6.8,(I) (2011)
Priest,87 min,PG-13,5.7,(2011)
Detachment,98 min,Not Rated,7.7,(2011)
United,94 min,PG-13,7.3,(I) (2011)
Grave Encounters,92 min,Not Rated,6.1,(2011)
The Good Doctor,93 min,PG-13,5.5,(I) (2011)
Madea's Big Happy Family,106 min,PG-13,4.7,(2011)
Puncture,100 min,R,6.8,(2011)
Something Borrowed,112 min,PG-13,5.8,(2011)
"Turn Me On, Dammit!",76 min,Not Rated,6.3,(2011)
Take Me Home,97 min,PG-13,6.8,(2011)
Thor,115 min,PG-13,7.0,(2011)
Fast Five,130 min,PG-13,7.3,(2011)
Water for Elephants,120 min,PG-13,6.9,(2011)
The Caller,92 min,R,6.0,(2011)
Atlas Shrugged: Part I,97 min,PG-13,5.6,(2011)
We Have a Pope,102 min,Not Rated,6.7,(2011)
5 Days of War,113 min,R,5.6,(2011)
Some Guy Who Kills People,97 min,R,6.3,(2011)
Scream 4,111 min,R,6.2,(2011)
A Lonely Place to Die,99 min,R,6.2,(2011)
Your Highness,102 min,R,5.5,(2011)
Soul Surfer,112 min,PG,7.0,(2011)
Arthur,110 min,PG-13,5.7,(I) (2011)
Hanna,111 min,PG-13,6.8,(2011)
Winnie the Pooh,63 min,G,7.1,(2011)
You May Not Kiss the Bride,99 min,PG-13,5.4,(2011)
Restless,91 min,PG-13,6.7,(I) (2011)
The Hit List,90 min,R,5.3,(2011)
Blackthorn,102 min,R,6.5,(2011)
Cat Run,106 min,R,5.5,(2011)
Killing Bono,114 min,R,6.3,(2011)
Hop,95 min,PG,5.4,(2011)
Rio,96 min,G,6.9,(2011)
Sucker Punch,110 min,PG-13,6.0,(2011)
Hellraiser: Revelations,75 min,R,2.7,(2011)
Diary of a Wimpy Kid: Rodrick Rules,99 min,PG,6.5,(2011)
North Sea Texas,98 min,Not Rated,7.1,(2011)
The Beaver,91 min,PG-13,6.6,(2011)
The Divide,112 min,R,5.8,(2011)
Detention,93 min,R,5.6,(2011)
Attack the Block,88 min,R,6.6,(2011)
Kill List,95 min,Not Rated,6.4,(2011)
The Innkeepers,101 min,R,5.5,(2011)
Source Code,93 min,PG-13,7.5,(2011)
Kill the Irishman,106 min,R,7.0,(2011)
Weekend,97 min,Not Rated,7.6,(II) (2011)
The Lincoln Lawyer,118 min,R,7.3,(2011)
Jane Eyre,120 min,PG-13,7.3,(2011)
Mars Needs Moms,88 min,PG,5.4,(2011)
Limitless,105 min,PG-13,7.4,(I) (2011)
Battle Los Angeles,116 min,PG-13,5.7,(2011)
Red Riding Hood,100 min,PG-13,5.4,(2011)
Girl Walks Into a Bar,80 min,R,5.6,(2011)
Ironclad,121 min,R,6.1,(2011)
Beastly,86 min,PG-13,5.5,(2011)
Absentia,87 min,R,5.8,(I) (2011)
Take Me Home Tonight,97 min,R,6.3,(2011)
Recoil,94 min,R,5.2,(I) (2011)
Red Dog,92 min,PG,7.3,(2011)
Hoodwinked 2: Hood vs. Evil,86 min,PG,4.7,(2011)
Drive Angry,104 min,R,5.4,(2011)
Hall Pass,105 min,R,5.9,(2011)
The Chaperone,103 min,PG-13,5.0,(2011)
Chalet Girl,97 min,R,6.2,(2011)
7 Khoon Maaf,137 min,Not Rated,6.3,(2011)
Unknown,113 min,PG-13,6.8,(I) (2011)
"Big Mommas: Like Father, Like Son",107 min,PG-13,4.4,(2011)
The Burma Conspiracy,114 min,Not Rated,6.1,(2011)
Sidewalls,95 min,Not Rated,7.5,(2011)
Game of Death,98 min,R,4.7,(2011)
Rango,107 min,PG,7.2,(2011)
The Adjustment Bureau,106 min,PG-13,7.0,(2011)
Coriolanus,123 min,R,6.1,(2011)
Suicide Room,110 min,Not Rated,6.6,(2011)
The Resident,91 min,R,5.3,(2011)
Patiala House,140 min,Not Rated,5.6,(2011)
I Am Number Four,111 min,PG-13,6.1,(2011)
The Eagle,114 min,PG-13,6.2,(2011)
Just Go with It,117 min,PG-13,6.4,(2011)
Paul,104 min,R,6.9,(2011)
The Roommate,91 min,PG-13,4.8,(I) (2011)
A Little Bit of Heaven,106 min,PG-13,6.2,(2011)
Sanctum,108 min,R,5.9,(2011)
Love,84 min,Not Rated,5.4,(I) (2011)
The Details,101 min,R,6.1,(2011)
Circumstance,107 min,R,5.9,(2011)
The Son of No One,90 min,R,5.1,(2011)
Flypaper,87 min,Not Rated,6.3,(2011)
Husk,83 min,R,5.1,(2011)
Seconds Apart,89 min,R,5.6,(2011)
Quarantine 2: Terminal,86 min,R,5.2,(2011)
The Rite,114 min,PG-13,6.0,(2011)
I Melt with You,129 min,R,5.9,(2011)
Margin Call,107 min,R,7.1,(2011)
Thin Ice,93 min,R,6.2,(2011)
Perfect Sense,92 min,R,7.0,(2011)
Another Earth,92 min,PG-13,6.9,(2011)
Take Shelter,120 min,R,7.3,(2011)
Sound of My Voice,85 min,R,6.6,(2011)
Gnomeo & Juliet,84 min,G,5.9,(2011)
The Woman,101 min,R,6.0,(I) (2011)
Red State,88 min,R,6.1,(2011)
The Art of Getting By,83 min,PG-13,6.5,(2011)
Cedar Rapids,87 min,R,6.3,(2011)
Little Birds,94 min,R,6.1,(2011)
Like Crazy,86 min,PG-13,6.6,(2011)
The Devil's Double,109 min,R,7.1,(2011)
Our Idiot Brother,90 min,R,6.4,(2011)
Terri,105 min,R,6.5,(2011)
Martha Marcy May Marlene,102 min,R,6.8,(2011)
Hobo with a Shotgun,86 min,Not Rated,6.1,(2011)
Win Win,106 min,R,7.1,(2011)
Tyrannosaur,92 min,Not Rated,7.5,(2011)
Silent House,86 min,R,5.2,(2011)
The Ledge,101 min,R,6.5,(2011)
The Future,91 min,R,6.1,(2011)
Bellflower,106 min,R,6.3,(2011)
The Guard,96 min,R,7.3,(2011)
Pariah,86 min,R,7.2,(I) (2011)
The Music Never Stopped,105 min,PG,7.5,(2011)
From Prada to Nada,107 min,PG-13,5.5,(2011)
The Mechanic,93 min,R,6.5,(2011)
The Dilemma,111 min,PG-13,5.3,(2011)
The Green Hornet,119 min,PG-13,5.8,(2011)
No Strings Attached,108 min,R,6.2,(I) (2011)
No One Killed Jessica,136 min,14A,7.2,(2011)
Season of the Witch,95 min,PG-13,5.4,(2011)
Dylan Dog: Dead of Night,107 min,PG-13,5.1,(2010)
Gulliver's Travels,85 min,PG,4.9,(2010)
Little Fockers,98 min,PG-13,5.5,(2010)
And Soon the Darkness,91 min,R,5.1,(2010)
Rien à déclarer,108 min,Not Rated,6.4,(2010)
Hopeful Notes,94 min,Not Rated,6.1,(2010)
True Grit,110 min,PG-13,7.6,(2010)
How Do You Know,121 min,PG-13,5.4,(2010)
"Ultramarines: A Warhammer 40,000 Movie",76 min,R,5.6,(2010)
Yogi Bear,80 min,PG,4.6,(2010)
Band Baaja Baaraat,139 min,Not Rated,7.2,(2010)
The Fighter,116 min,R,7.8,(I) (2010)
The Tourist,103 min,PG-13,6.0,(I) (2010)
Three Steps Above Heaven,118 min,Not Rated,6.8,(2010)
Beyond the Black Rainbow,110 min,R,5.9,(2010)
The Chronicles of Narnia: The Voyage of the Dawn Treader,113 min,PG,6.3,(2010)
The Warrior's Way,100 min,R,6.2,(2010)
TRON: Legacy,125 min,PG,6.8,(2010)
London Boulevard,103 min,R,6.2,(2010)
Burlesque,119 min,PG-13,6.4,(I) (2010)
Tangled,100 min,PG,7.7,(2010)
Faster,98 min,R,6.4,(2010)
Guzaarish,126 min,PG,7.4,(2010)
Harry Potter and the Deathly Hallows: Part 1,146 min,PG-13,7.7,(2010)
Skyline,92 min,PG-13,4.5,(2010)
The Next Three Days,133 min,PG-13,7.3,(2010)
Country Strong,117 min,PG-13,6.3,(2010)
Morning Glory,107 min,PG-13,6.5,(2010)
Don't Be Afraid of the Dark,99 min,R,5.5,(2010)
All Good Things,101 min,R,6.3,(2010)
For Colored Girls,133 min,R,6.2,(2010)
Love & Other Drugs,112 min,R,6.7,(2010)
The Big Bang,101 min,R,5.4,(2010)
Act of Vengeance,119 min,Not Rated,5.7,(2010)
Due Date,95 min,R,6.5,(2010)
Troll Hunter,103 min,PG-13,6.9,(2010)
Burke and Hare,91 min,R,6.1,(2010)
Megamind,95 min,PG,7.3,(2010)
Unstoppable,98 min,PG-13,6.8,(2010)
Saw 3D,90 min,R,5.5,(2010)
Open Season 3,75 min,PG,5.0,(2010)
Paranormal Activity 2,91 min,R,5.7,(2010)
A Cat in Paris,70 min,PG,6.9,(2010)
Wrecked,91 min,R,5.3,(2010)
Atrocious,79 min,R,5.0,(2010)
Hunt to Kill,98 min,R,5.1,(2010)
Neds,124 min,TV-14,6.9,(2010)
Oranges and Sunshine,105 min,R,7.1,(2010)
Conference of Animals,93 min,PG,4.9,(2010)
My Soul to Take,107 min,R,4.7,(2010)
Les Misérables in Concert: The 25th Anniversary,178 min,Not Rated,8.8,(2010)
Altitude,90 min,R,4.8,(2010)
Life as We Know It,114 min,PG-13,6.5,(2010)
Secretariat,123 min,PG,7.2,(2010)
The Trip,112 min,Not Rated,7.0,(I) (2010)
Mumbai Diaries,100 min,Not Rated,7.0,(2010)
RED,111 min,PG-13,7.0,(2010)
The Social Network,120 min,PG-13,7.8,(2010)
Nude Nuns with Big Guns,91 min,Not Rated,3.9,(2010)
Legend of the Guardians: The Owls of Ga'Hoole,97 min,PG,6.9,(2010)
You Again,105 min,PG,5.7,(2010)
Mother's Day,112 min,R,6.2,(I) (2010)
Chain Letter,96 min,R,4.1,(2010)
Last Night,93 min,R,6.5,(I) (2010)
Stake Land,98 min,R,6.4,(2010)
Devil,80 min,PG-13,6.3,(2010)
Elle s'appelait Sarah,111 min,PG-13,7.5,(2010)
Even the Rain,103 min,Not Rated,7.4,(2010)
Casino Jack,108 min,R,6.2,(2010)
The Bang Bang Club,106 min,R,6.9,(2010)
Insidious,103 min,PG-13,6.8,(I) (2010)
Good Neighbours,99 min,R,5.8,(2010)
Henry's Crime,108 min,R,5.9,(2010)
Let Me In,116 min,R,7.1,(I) (2010)
The Ward,89 min,R,5.5,(2010)
Rabbit Hole,91 min,PG-13,7.0,(2010)
The Whistleblower,112 min,R,7.1,(2010)
Brighton Rock,111 min,R,5.7,(2010)
Repeaters,89 min,14A,5.7,(2010)
Submarine,97 min,R,7.3,(2010)
Dirty Girl,90 min,R,6.4,(2010)
Hereafter,129 min,PG-13,6.5,(2010)
Vanishing on 7th Street,92 min,R,4.9,(2010)
Beautiful Boy,100 min,R,6.6,(2010)
Easy A,92 min,PG-13,7.0,(2010)
The Conspirator,122 min,PG-13,6.9,(2010)
Beginners,105 min,R,7.2,(2010)
The Tempest,110 min,PG-13,5.3,(I) (2010)
Made in Dagenham,113 min,R,7.1,(2010)
Conviction,107 min,R,7.2,(II) (2010)
Bunraku,124 min,R,6.1,(2010)
Trust,106 min,R,6.9,(I) (2010)
Super,96 min,R,6.7,(I) (2010)
The Way,123 min,PG-13,7.3,(I) (2010)
Stone,105 min,R,5.4,(2010)
Passion Play,94 min,R,4.5,(2010)
Everything Must Go,97 min,R,6.4,(2010)
Daydream Nation,98 min,R,6.3,(2010)
3,119 min,Unrated,6.7,(2010)
Lapland Odyssey,92 min,Not Rated,6.8,(2010)
Legendary,107 min,PG-13,6.1,(2010)
The Town,125 min,R,7.5,(2010)
Alpha and Omega,90 min,PG,5.1,(2010)
Attenberg,97 min,Not Rated,6.2,(2010)
The King's Speech,118 min,R,8.0,(2010)
I'm Still Here,108 min,R,6.2,(I) (2010)
Essential Killing,83 min,R,6.1,(2010)
Meek's Cutoff,104 min,PG,6.5,(2010)
127 Hours,94 min,R,7.5,(2010)
The Debt,113 min,R,6.8,(I) (2010)
Chico & Rita,94 min,Not Rated,7.2,(2010)
Incendies,130 min,R,8.3,(2010)
Never Let Me Go,103 min,R,7.1,(2010)
The Way Back,133 min,PG-13,7.3,(I) (2010)
Somewhere,97 min,R,6.3,(2010)
Hell,149 min,NC-17,7.6,(2010)
Reign of Assassins,117 min,R,6.8,(2010)
Resident Evil: Afterlife,96 min,R,5.8,(2010)
Black Swan,108 min,R,8.0,(2010)
The American,105 min,R,6.3,(2010)
Machete,105 min,R,6.6,(2010)
Legend of the Fist: The Return of Chen Zhen,106 min,R,6.2,(2010)
The Dead,105 min,R,5.7,(2010)
The Tortured,79 min,R,5.4,(2010)
Going the Distance,102 min,R,6.3,(2010)
Inhale,83 min,R,6.5,(2010)
In a Better World,118 min,R,7.6,(2010)
Hatchet II,85 min,R,5.4,(2010)
Primal,80 min,Not Rated,4.8,(2010)
Arthur 3: The War of the Two Worlds,101 min,PG,5.4,(2010)
Devil's Playground,96 min,Not Rated,5.1,(2010)
Piranha 3D,88 min,R,5.5,(2010)
Vampires Suck,82 min,PG-13,3.4,(2010)
Love Crime,106 min,Not Rated,6.5,(2010)
Burning Bright,86 min,PG-13,5.8,(2010)
The Switch,101 min,PG-13,6.1,(I) (2010)
Lottery Ticket,99 min,PG-13,5.0,(I) (2010)
Boy Wonder,93 min,R,6.8,(2010)
Eat Pray Love,133 min,PG-13,5.8,(2010)
"Tomorrow, When the War Began",104 min,R,6.1,(2010)
Rare Exports,84 min,R,6.6,(2010)
The Man from Nowhere,119 min,R,7.7,(2010)
Takers,107 min,PG-13,6.2,(2010)
Step Up 3D,107 min,PG-13,6.1,(2010)
A Turtle's Tale: Sammy's Adventures,88 min,PG,6.0,(2010)
The Expendables,103 min,R,6.4,(2010)
The Other Guys,107 min,PG-13,6.6,(2010)
The Shrine,85 min,Not Rated,5.5,(2010)
Charlie St. Cloud,99 min,PG-13,6.4,(2010)
Cats & Dogs: The Revenge of Kitty Galore,82 min,PG,4.3,(2010)
Scott Pilgrim vs. the World,112 min,PG-13,7.5,(2010)
Flipped,90 min,PG,7.7,(I) (2010)
The Clinic,94 min,R,5.3,(II) (2010)
Ramona and Beezus,103 min,G,6.5,(2010)
Salt,100 min,PG-13,6.4,(2010)
Dinner for Schmucks,114 min,PG-13,5.9,(2010)
Bereavement,103 min,R,5.0,(2010)
Operation: Endgame,87 min,R,4.9,(2010)
Tere Bin Laden,95 min,Not Rated,7.2,(2010)
Womb,111 min,Not Rated,6.3,(2010)
The Experiment,96 min,R,6.4,(2010)
Inception,148 min,PG-13,8.8,(2010)
Predators,107 min,R,6.4,(2010)
The Sorcerer's Apprentice,109 min,PG,6.1,(2010)
It's Kind of a Funny Story,101 min,PG-13,7.1,(2010)
The Last Airbender,103 min,PG,4.0,(2010)
The Twilight Saga: Eclipse,124 min,PG-13,5.0,(2010)
Sinners and Saints,104 min,R,6.1,(2010)
Third Star,92 min,Not Rated,7.3,(2010)
Elena Undone,111 min,Not Rated,6.1,(2010)
Grown Ups,102 min,PG-13,5.9,(I) (2010)
The Last Exorcism,87 min,PG-13,5.7,(2010)
Bloomington,83 min,Not Rated,5.8,(2010)
Despicable Me,95 min,PG,7.6,(2010)
Jonah Hex,81 min,PG-13,4.7,(2010)
Knight and Day,109 min,PG-13,6.3,(2010)
71: Into the Fire,120 min,Not Rated,7.3,(2010)
Toy Story 3,103 min,G,8.3,(2010)
Shanghai,105 min,R,6.4,(2010)
The Karate Kid,140 min,PG,6.2,(2010)
Raajneeti,163 min,Not Rated,7.1,(2010)
The A-Team,117 min,PG-13,6.7,(2010)
4.3.2.1.,117 min,Not Rated,5.8,(2010)
Killers,100 min,PG-13,5.4,(2010)
Singam,160 min,Not Rated,6.9,(2010)
Sex and the City 2,146 min,R,4.5,(2010)
Marmaduke,87 min,PG,4.3,(2010)
Unthinkable,97 min,R,7.0,(2010)
Black Death,102 min,R,6.4,(2010)
Get Him to the Greek,109 min,R,6.3,(2010)
White Wall,91 min,Not Rated,3.4,(2010)
Kites,123 min,Not Rated,6.0,(I) (2010)
Fair Game,108 min,PG-13,6.8,(I) (2010)
StreetDance 3D,98 min,PG-13,5.8,(2010)
Tamara Drewe,107 min,R,6.2,(2010)
Certified Copy,106 min,Not Rated,7.2,(2010)
Sound of Noise,102 min,R,7.2,(2010)
The Reef,94 min,R,5.8,(2010)
Frankie & Alice,101 min,R,6.4,(2010)
The Outrage,109 min,R,6.8,(2010)
Heartbeats,101 min,Not Rated,7.1,(2010)
Rubber,82 min,R,5.7,(2010)
You Will Meet a Tall Dark Stranger,98 min,R,6.3,(2010)
Kaboom,86 min,Not Rated,5.7,(2010)
Another Year,129 min,PG-13,7.4,(2010)
Wall Street: Money Never Sleeps,133 min,PG-13,6.2,(2010)
Chatroom,97 min,R,5.4,(2010)
The Housemaid,107 min,Not Rated,6.4,(2010)
The Names of Love,100 min,R,7.1,(2010)
Robin Hood,140 min,PG-13,6.6,(2010)
Prince of Persia: The Sands of Time,116 min,PG-13,6.6,(2010)
Badmaash Company,142 min,Not Rated,6.1,(2010)
Ong Bak 3,99 min,R,4.9,(2010)
Just Wright,100 min,PG,5.9,(2010)
I Spit on Your Grave,108 min,R,6.2,(2010)
Barney's Version,134 min,R,7.3,(2010)
Ip Man 2,108 min,R,7.5,(2010)
A Nightmare on Elm Street,95 min,R,5.2,(2010)
Iron Man 2,124 min,PG-13,6.9,(2010)
Letters to Juliet,105 min,PG,6.5,(2010)
Room in Rome,107 min,Not Rated,6.1,(2010)
Dog Pound,91 min,Not Rated,7.0,(2010)
My Girlfriend's Boyfriend,84 min,PG,5.8,(2010)
The Back-up Plan,104 min,PG-13,5.3,(2010)
Dream Home,96 min,Not Rated,6.6,(2010)
Shrek Forever After,95 min,PG,6.3,(2010)
The Losers,97 min,PG-13,6.2,(I) (2010)
Peacock,90 min,PG-13,6.2,(2010)
Beneath Hill 60,122 min,R,7.0,(2010)
Cemetery Junction,95 min,R,6.8,(2010)
Death at a Funeral,92 min,R,5.7,(2010)
The Extraordinary Adventures of Adèle Blanc-Sec,107 min,PG,6.3,(2010)
Letters to God,110 min,PG,6.1,(2010)
The Infidel,105 min,TV-PG,6.4,(2010)
Wild Target,98 min,PG-13,6.7,(2010)
Date Night,88 min,PG-13,6.3,(2010)
Furry Vengeance,92 min,PG,3.8,(2010)
